,Survived,Name
0,0,"Braund, Mr. Owen Harris"
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
2,1,"Heikkinen, Miss. Laina"
3,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)"
4,0,"Allen, Mr. William Henry"
5,0,"Moran, Mr. James"
6,0,"McCarthy, Mr. Timothy J"
7,0,"Palsson, Master. Gosta Leonard"
8,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)"
9,1,"Nasser, Mrs. Nicholas (Adele Achem)"
10,1,"Sandstrom, Miss. Marguerite Rut"
11,1,"Bonnell, Miss. Elizabeth"
12,0,"Saundercock, Mr. William Henry"
13,0,"Andersson, Mr. Anders Johan"
14,0,"Vestrom, Miss. Hulda Amanda Adolfina"
15,1,"Hewlett, Mrs. (Mary D Kingcome) "
16,0,"Rice, Master. Eugene"
17,1,"Williams, Mr. Charles Eugene"
18,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)"
19,1,"Masselmani, Mrs. Fatima"
20,0,"Fynney, Mr. Joseph J"
21,1,"Beesley, Mr. Lawrence"
22,1,"McGowan, Miss. Anna ""Annie"""
23,1,"Sloper, Mr. William Thompson"
24,0,"Palsson, Miss. Torborg Danira"
25,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)"
26,0,"Emir, Mr. Farred Chehab"
27,0,"Fortune, Mr. Charles Alexander"
28,1,"O'Dwyer, Miss. Ellen ""Nellie"""
29,0,"Todoroff, Mr. Lalio"
30,0,"Uruchurtu, Don. Manuel E"
31,1,"Spencer, Mrs. William Augustus (Marie Eugenie)"
32,1,"Glynn, Miss. Mary Agatha"
33,0,"Wheadon, Mr. Edward H"
34,0,"Meyer, Mr. Edgar Joseph"
35,0,"Holverson, Mr. Alexander Oskar"
36,1,"Mamee, Mr. Hanna"
37,0,"Cann, Mr. Ernest Charles"
38,0,"Vander Planke, Miss. Augusta Maria"
39,1,"Nicola-Yarred, Miss. Jamila"
40,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)"
41,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)"
42,0,"Kraeff, Mr. Theodor"
43,1,"Laroche, Miss. Simonne Marie Anne Andree"
44,1,"Devaney, Miss. Margaret Delia"
45,0,"Rogers, Mr. William John"
46,0,"Lennon, Mr. Denis"
47,1,"O'Driscoll, Miss. Bridget"
48,0,"Samaan, Mr. Youssef"
49,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)"
50,0,"Panula, Master. Juha Niilo"
51,0,"Nosworthy, Mr. Richard Cater"
52,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)"
53,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)"
54,0,"Ostby, Mr. Engelhart Cornelius"
55,1,"Woolner, Mr. Hugh"
56,1,"Rugg, Miss. Emily"
57,0,"Novel, Mr. Mansouer"
58,1,"West, Miss. Constance Mirium"
59,0,"Goodwin, Master. William Frederick"
60,0,"Sirayanian, Mr. Orsen"
61,1,"Icard, Miss. Amelie"
62,0,"Harris, Mr. Henry Birkhardt"
63,0,"Skoog, Master. Harald"
64,0,"Stewart, Mr. Albert A"
65,1,"Moubarek, Master. Gerios"
66,1,"Nye, Mrs. (Elizabeth Ramell)"
67,0,"Crease, Mr. Ernest James"
68,1,"Andersson, Miss. Erna Alexandra"
69,0,"Kink, Mr. Vincenz"
70,0,"Jenkin, Mr. Stephen Curnow"
71,0,"Goodwin, Miss. Lillian Amy"
72,0,"Hood, Mr. Ambrose Jr"
73,0,"Chronopoulos, Mr. Apostolos"
74,1,"Bing, Mr. Lee"
75,0,"Moen, Mr. Sigurd Hansen"
76,0,"Staneff, Mr. Ivan"
77,0,"Moutal, Mr. Rahamin Haim"
78,1,"Caldwell, Master. Alden Gates"
79,1,"Dowdell, Miss. Elizabeth"
80,0,"Waelens, Mr. Achille"
81,1,"Sheerlinck, Mr. Jan Baptist"
82,1,"McDermott, Miss. Brigdet Delia"
83,0,"Carrau, Mr. Francisco M"
84,1,"Ilett, Miss. Bertha"
85,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)"
86,0,"Ford, Mr. William Neal"
87,0,"Slocovski, Mr. Selman Francis"
88,1,"Fortune, Miss. Mabel Helen"
89,0,"Celotti, Mr. Francesco"
90,0,"Christmann, Mr. Emil"
91,0,"Andreasson, Mr. Paul Edvin"
92,0,"Chaffee, Mr. Herbert Fuller"
93,0,"Dean, Mr. Bertram Frank"
94,0,"Coxon, Mr. Daniel"
95,0,"Shorney, Mr. Charles Joseph"
96,0,"Goldschmidt, Mr. George B"
97,1,"Greenfield, Mr. William Bertram"
98,1,"Doling, Mrs. John T (Ada Julia Bone)"
99,0,"Kantor, Mr. Sinai"
100,0,"Petranec, Miss. Matilda"
101,0,"Petroff, Mr. Pastcho (""Pentcho"")"
102,0,"White, Mr. Richard Frasar"
103,0,"Johansson, Mr. Gustaf Joel"
104,0,"Gustafsson, Mr. Anders Vilhelm"
105,0,"Mionoff, Mr. Stoytcho"
106,1,"Salkjelsvik, Miss. Anna Kristine"
107,1,"Moss, Mr. Albert Johan"
108,0,"Rekic, Mr. Tido"
109,1,"Moran, Miss. Bertha"
110,0,"Porter, Mr. Walter Chamberlain"
111,0,"Zabour, Miss. Hileni"
112,0,"Barton, Mr. David John"
113,0,"Jussila, Miss. Katriina"
114,0,"Attalah, Miss. Malake"
115,0,"Pekoniemi, Mr. Edvard"
116,0,"Connors, Mr. Patrick"
117,0,"Turpin, Mr. William John Robert"
118,0,"Baxter, Mr. Quigg Edmond"
119,0,"Andersson, Miss. Ellis Anna Maria"
120,0,"Hickman, Mr. Stanley George"
